prefix	input_text	target_text
eng to kor	Lincoln County	링컨 카운티
kor to eng	링컨 카운티	Lincoln County
eng to kor	country and western	컨트리앤드웨스턴
kor to eng	컨트리앤드웨스턴	country and western
eng to kor	Opitz	오피츠
kor to eng	오피츠	Opitz
eng to kor	Alexander	알렉산더
kor to eng	알렉산더	Alexander
eng to kor	VU meter	브이유미터
kor to eng	브이유미터	VU meter
eng to kor	ganglioside	강글리오시드
kor to eng	강글리오시드	ganglioside
eng to kor	the Oaks	오크스
kor to eng	오크스	the Oaks
eng to kor	trichloromethane	트리클로로메탄
kor to eng	트리클로로메탄	trichloromethane
eng to kor	Walnut Grove	월넛그로브
kor to eng	월넛그로브	Walnut Grove
eng to kor	Saint Stephens	세인트 스티븐스
kor to eng	세인트 스티븐스	Saint Stephens
eng to kor	quality	퀄리티
kor to eng	퀄리티	quality
eng to kor	cork paint	코르크페인트
kor to eng	코르크페인트	cork paint
eng to kor	Athens	애선스
kor to eng	애선스	Athens
eng to kor	Lee County	리 카운티
kor to eng	리 카운티	Lee County
eng to kor	Miramar	미라마
kor to eng	미라마	Miramar
eng to kor	drum	드럼
kor to eng	드럼	drum
eng to kor	archive	아카이브
kor to eng	아카이브	archive
eng to kor	Murphy	머피
kor to eng	머피	Murphy
eng to kor	Chile	칠레
kor to eng	칠레	Chile
eng to kor	muskmelon	머스크멜론
kor to eng	머스크멜론	muskmelon
eng to kor	Penfield	펜필드
kor to eng	펜필드	Penfield
eng to kor	Jennifer Barringer	제니퍼 배린저
kor to eng	제니퍼 배린저	Jennifer Barringer
eng to kor	toque	토크
kor to eng	토크	toque
eng to kor	Piha	피하
kor to eng	피하	Piha
eng to kor	Whitford	휫퍼드
kor to eng	휫퍼드	Whitford
eng to kor	Happy Jack	해피 잭
kor to eng	해피 잭	Happy Jack
eng to kor	radiogramophone	라디오그래머폰
kor to eng	라디오그래머폰	radiogramophone
eng to kor	Sterling	스털링
kor to eng	스털링	Sterling
eng to kor	kleinite	클라이나이트
kor to eng	클라이나이트	kleinite
eng to kor	Celebes	셀레베스
kor to eng	셀레베스	Celebes
eng to kor	Russellville	러셀빌
kor to eng	러셀빌	Russellville
eng to kor	Cram	크램
kor to eng	크램	Cram
eng to kor	mosaic glass	모자이크글라스
kor to eng	모자이크글라스	mosaic glass
eng to kor	Foreman	포어맨
kor to eng	포어맨	Foreman
eng to kor	duo	듀오
kor to eng	듀오	duo
eng to kor	Shamrock	섐록
kor to eng	섐록	Shamrock
eng to kor	Hertford	허트포드
kor to eng	허트포드	Hertford
eng to kor	Panguitch	팬귀치
kor to eng	팬귀치	Panguitch
eng to kor	parabola antenna	파라볼라안테나
kor to eng	파라볼라안테나	parabola antenna
eng to kor	terminal	터미널
kor to eng	터미널	terminal
eng to kor	Ozark Plateau	오자크 고원
kor to eng	오자크 고원	Ozark Plateau
eng to kor	Thorp	소프
kor to eng	소프	Thorp
eng to kor	Ladysmith	레이디스미스
kor to eng	레이디스미스	Ladysmith
eng to kor	Flavell	플래벌
kor to eng	플래벌	Flavell
eng to kor	Dallapiccola	달라피콜라
kor to eng	달라피콜라	Dallapiccola
eng to kor	butane gas	부탄가스
kor to eng	부탄가스	butane gas
eng to kor	silicide	실리사이드
kor to eng	실리사이드	silicide
eng to kor	Willis	윌리스
kor to eng	윌리스	Willis
eng to kor	toe	토
kor to eng	토	toe
eng to kor	Caulfield	클로필드
kor to eng	클로필드	Caulfield
eng to kor	Brian	브라이언
kor to eng	브라이언	Brian
eng to kor	Vance	밴스
kor to eng	밴스	Vance
eng to kor	Tallis	탤리스
kor to eng	탤리스	Tallis
eng to kor	model	모델
kor to eng	모델	model
eng to kor	Poynting	포인팅
kor to eng	포인팅	Poynting
eng to kor	Ortiz	오리츠
kor to eng	오리츠	Ortiz
eng to kor	Eldorado	엘도라도
kor to eng	엘도라도	Eldorado
eng to kor	Prossia	프로시아
kor to eng	프로시아	Prossia
eng to kor	James Alexander	제임스 알렉산더
kor to eng	제임스 알렉산더	James Alexander
eng to kor	Diomede	디오메드
kor to eng	디오메드	Diomede
eng to kor	Keller	켈러
kor to eng	켈러	Keller
eng to kor	olefin	올레핀
kor to eng	올레핀	olefin
eng to kor	Jefferson County	제퍼슨 카운티
