input_text	target_text
Lincoln County	링컨 카운티
country and western	컨트리앤드웨스턴
Opitz	오피츠
Alexander	알렉산더
VU meter	브이유미터
ganglioside	강글리오시드
the Oaks	오크스
trichloromethane	트리클로로메탄
Walnut Grove	월넛그로브
Saint Stephens	세인트 스티븐스
quality	퀄리티
cork paint	코르크페인트
Athens	애선스
Lee County	리 카운티
Miramar	미라마
drum	드럼
archive	아카이브
Murphy	머피
Chile	칠레
muskmelon	머스크멜론
Penfield	펜필드
Jennifer Barringer	제니퍼 배린저
toque	토크
Piha	피하
Whitford	휫퍼드
Happy Jack	해피 잭
radiogramophone	라디오그래머폰
Sterling	스털링
kleinite	클라이나이트
Celebes	셀레베스
Russellville	러셀빌
Cram	크램
mosaic glass	모자이크글라스
Foreman	포어맨
duo	듀오
Shamrock	섐록
Hertford	허트포드
Panguitch	팬귀치
parabola antenna	파라볼라안테나
terminal	터미널
Ozark Plateau	오자크 고원
Thorp	소프
Ladysmith	레이디스미스
Flavell	플래벌
Dallapiccola	달라피콜라
butane gas	부탄가스
silicide	실리사이드
Willis	윌리스
toe	토
Caulfield	클로필드
Brian	브라이언
Vance	밴스
Tallis	탤리스
model	모델
Poynting	포인팅
Ortiz	오리츠
Eldorado	엘도라도
Prossia	프로시아
James Alexander	제임스 알렉산더
Diomede	디오메드
Keller	켈러
olefin	올레핀
Jefferson County	제퍼슨 카운티
Waco	웨이코
Jannings	야닝스
Hoche	오슈
Vichy Springs	빈치 스프링스
ginger	진저
Monroeville	먼로빌
Aurora	오로라
Clarence	클래런스
Salvator	살바토르
Reid	리드
Batchelor	배철러
Hyattstown	하야츠타운
Malbis	멜비스
Somers	소머즈
roller conveyer	롤러컨베이어
Heber Springs	헤버스프링스
stick	스틱
Arden Hills	아덴 힐스
pickoff play	픽오프플레이
El Lago	엘라고
Wightman	와이트먼
Meeme	밈
supervision	슈퍼비전
Jackson County	잭슨 카운티
SYSOP	시솝
Cogar	코가
Etowah County	에토와 카운티
Edgar	에드거
Lund	런드
oil shock	오일쇼크
Trevor	트레버
Merriam	메리엄
niche	니치
Winn Parish	윈 패리시
staple fiber	스테이플파이버
burka	부르카
Chinanet	차이나넷
Hamilton	해밀턴
Hildale	힐데일
Forkland	포크랜드
Eddie	에디
Paramount	패러마운트
Olema	올레마
Gayville	게이빌
Elk County	엘크 카운티
Rucker plan	러커플랜
Melanie	멜러니
Lumberton	럼버턴
all-night	올나이트
Benjamin	벤자민
Crystal River	크리스탈 리버
Shandon	섄던
Greasy	그리시
Joe	조
Rosebud	로즈버드
Paeroa	파에로아
long shot	롱숏
Hayden	헤이든
megacycle	메가사이클
Redmond	레드몬드
Morrison	모리슨
microgram	마이크로그램
native speaker	네이티브 스피커
Smith Village	스미스빌리지
Orchard	오처드
Champaign	섐페인
Tollhouse	톨하우스
Apple Valley	애플 밸리
Brown	브라운
Wikieup	위키업
Von Ormy	본 아미
Gunder	건더
interval	인터벌
Flemington	플레밍턴
Omagh	오마
Peach Creek	피치 크리크
Maben	메이븐
chlorobutadiene	클로로부타디엔
Wellington	웰링턴
David	데이비드
Landgraff	랜드그라프
Michael	마이클
TACAN	타칸
Colorado	콜로라도
Cuba	쿠바
Cairo	케이로
wooly nylon	울리나일론
Eckermann	에커만
Pine City	파인 시티
kitchen towel	키친타월
Bouquet Canyon	부케 캐년
Grants	그랜츠
Bruceville-Eddy	브루스빌에디
Hephzibah	헤프지바
Stahl	슈탈
Gould	굴드
Springville	스프링빌
Barry	배리
Jewell	주얼
rush	러시
Sampson	샘슨
ring pass	링패스
Tuscumbia	터스컴비아
youtube	유튜브
Capitola	캐피톨라
Union Valley	유니언밸리
Navajo	나바호
Scotch terrier	스코치테리어
Bossier Parish County	보시에 패리시
tractor	트랙터
Eryops	에리옵스
Wegener	베게너
Eiffel	에펠
tuberose	투베로즈
Manicouagan	매니쿼건
drum scanner	드럼스캐너
Sunrise	선라이즈
East Fork	이스트포크
nonimpact printer	논임팩트프린터
Roanoke	로어노크
creatine	크레아틴
Lincoln	링컨
flash powder	플래시파우더
Gordonsburg	고든즈버그
Ralph	랠프
slip ring	슬립 링
second	세컨드
Dar es Salaam	다르에스살람
Lufkin	러프킨
Noonday	눈데이
Copan	코팬
water crane	워터크레인
George Wald	조지 월드
Dauphin Island	더핀 아일랜드
sand mixer	샌드믹서
Boulder	볼더
Abbott	애벗
ball mill	볼밀
Royal Center	로얄 센터
diazine	다이아진
Coffeen	커핀
spirit gum	스피릿검
Monroe County	먼로 카운티
quota system	쿼터시스템
Baltic	발틱
ratchet	래칫
Glyndon	글린던
Jinjiang	진지앙
Worthington	워딩턴
Tony	토니
Bulls Gap	불스갭
r	알
Joseph	조지프
Helper	헬퍼
Judson	저드슨
Veihmeyer	비마이어
Crystal	크리스탈
Rock Hill	록 힐
Stanley	스탠리
Welge	웰지
Belize	벨리즈
Richardson	리처드슨
Nornen	노르넨
galactose	갈락토오스
Burkina Faso	부르키나파소
Allegheny	앨러게니
New Portland	뉴 포틀랜드
bone china	본차이나
Thornton	손턴
video adapter	비디오 어댑터
Christmas card	크리스마스카드
Carnesville	칸즈빌
Logan	로건
Clay	클레이
apartment	아파트
Suslov	수슬로프
Housman	하우스먼
Jean Dominique	장 도미니크
long	롱
Paradise	파라다이스
Murray	머리
Tewksbury	턱스베리
Hoolehua	몰로카이
Doss	도스
Van Buren County	밴 뷰런 카운티
Buffalo	버펄로
rubber racket	러버라켓
GSI	지에스아이
Venturi	벤투리
Simon Elliott	사이먼 엘리엇
satellite	새틀라이트
Ophella	오필리아
semicolon	세미콜론
Battle Creek	배틀크리크
Alan B	앨런
Enterprise	엔터프라이즈
left wing	레프트윙
ready go	레디고
Courtois	쿠르투아
episome	에피솜
Darryl F	대릴
Babbitt	배빗
Le Flore	러플로어
Menominee	메노미니
anilide	아닐리드
Miller	밀러
sand-ski	샌드스키
death mask	데스마스크
Easton	이스턴
sausage	소시지
Bandera County	반데라 카운티
metal tape	메탈테이프
Springvale	스프링베일
Willoughby Hills	윌러비 힐스
Vincent	빈센트
Burkina Faso	부르키나파소
Cristobal	크리스토벌
Aneta	아네타
belt conveyer	벨트컨베이어
Joshua McAdams	조슈아 매캐덤스
Savage	새비지
Fostoria	포스토리아
Honaker	호나커
Campville	캠프빌
Glen Ridge	글렌리지
SNOBOL	스노볼
Butler	버틀러
adinole	아디놀
Manus	마누스
Sallisaw	샐리소
Apple Valley	애플밸리
Howardwick	하워드윅
Waynesville	웨인즈빌
Sallie	샐리
Chippewa	칩페와
Jefferson County	제퍼슨 카운티
color slide	컬러슬라이드
jab	잽
slow video	슬로비디오
Conrad	콘래드
Gary	게리
setter	세터
pregnance	프레그넌스
Elysian Fields	엘리시안 필즈
Aeneis	아이네이스
Lamb	램
estradiol	에스트라디올
Cuiaba	쿠이아바
FDA	에프디에이
Scotland County	스코틀랜드 카운티
Muenzer	뮨저
Harpers Ferry	하퍼스 페리
Aden	아덴
Borchardt	보르하르트
computer	컴퓨터
skydiving	스카이다이빙
Wedekind	베데킨트
purine	푸린
Mehmet	메메트
oxydol	옥시돌
Guitry	기트리
Red Wing	레드윙
tetrodotoxin	테트로도톡신
aplite	애플라이트
Boys Town	보이스타운
Peter	피터
Erinn	에린
Alma	앨마
Point Comfort	포인트 컴포트
John	존
Portage County	포티지 카운티
micromodule	마이크로모듈
Matt	맷
Cha	차
Good Hope	굿호프
Paris	패리스
Johns Creek	존스크리크
La Vista	라 비스타
Broomfield County	브룸필드 카운티
Bearsdale	베어즈데일
tilapia	틸라피아
cut glass	컷글라스
Levels	레벨스
Vancouver	밴쿠버
Yuli Tamir	율리 타미르
Bromley	브롬리
Hortense	호텐스
Rhazes	라제스
Centerville	센터빌
hacker	해커
Sullivan	설리번
MIDI	미디
Ochopee	오초피
Franklin County	프랭클린 카운티
Wilson	윌슨
Weare	위어
Hamshire	햄셔
Hammel	햄멜
Walsh	월시
apt	앱트
polyamide	폴리아미드
San Bruno	샌 부르노
Houston	휴스턴
rudbeckia	루드베키아
toss batting	토스배팅
Montgomery County	몽고메리 카운티
fantasy	판타지
Cassai	카사이
Janesville	제인스빌
guanine	구아닌
Double Oak	더블오크
Old Station	올드 스테이션
Galsworthy	골즈워디
supporter	서포터
College Station	칼리지스테이션
Stephentown	스티븐타운
DeKalb	디캘브
McNeal	맥닐
Johann Heinrich Wilhelm	요한 하인리히 빌헬름
Chillicothe	칠리코시
Anderson County	앤더슨 카운티
Homer	호머
Kenosha County	커노샤 카운티
Odell	오델
Celina	셀리나
miniature	미니어처
Savitr	사비트르
ytterbium	이테르븀
Mayer	메이여
Jonathan Lockwood	조너선 록우드
best member	베스트멤버
Newbold	뉴볼드
packing	패킹
Knies	크니스
Stein	스타인
Witt	위트
Lynn	린
Madison	매디슨
manometer	마노미터
